,words,tf
1210,udama,False
1211,athdekimak,False
1212,niwasaka,False
1213,athare,False
1214,okata,False
1215,way,True
1216,fivestar,False
1217,rates,True
1218,Sri,False
1219,which,True
1220,maath,False
1221,Ida,True
1222,culture,True
1223,hasirenne,False
1224,bima,False
1225,happan,False
1226,hadi,False
1227,kalpanawen,False
1228,cocktail,True
1229,how,True
1230,wahallu,False
1231,suwadai,False
1232,sathkara,False
1233,kellek,False
1234,luck,True
1235,quite,True
1236,father,True
1237,mithrashili,False
1238,poya,False
1239,karalama,False
1240,once,True
1241,hospitality,True
1242,eekatanam,False
1243,salli,False
1244,fast,True
1245,Eth,False
1246,ginger,True
1247,k,True
1248,naane,False
1249,wisheshayak,False
1250,hithapu,False
1251,tyanna,False
1252,lump,True
1253,video,True
1254,akkita,False
1255,kla,False
1256,white,True
1257,1100k,False
1258,gannath,False
1259,berry,True
1260,crew,True
1261,uparima,False
1262,denekt,False
1263,senagak,False
1264,karapu,False
1265,kiwwa,False
1266,durai,False
1267,chutny,False
1268,molayak,False
1269,tea,True
1270,amu,False
1271,godaak,False
1272,giye,False
1273,kohenwath,False
1274,were,True
1275,oni,False
1276,waladi,False
1277,gear,True
1278,saiwer,False
1279,hadaganna,False
1280,kelle,False
1281,kiwata,False
1282,elluwath,False
1283,hithuwe,False
1284,loverslat,False
1285,colouring,False
1286,years,True
1287,dhan,False
1288,parana,False
1289,violation,True
1290,widiya,False
1291,thiyenooo,False
1292,prasannai,False
1293,birthday,True
1294,akka,False
1295,labadayakai,False
1296,pramithiyak,False
1297,lamp,True
1298,mn,False
1299,KSB,False
1300,has,True
1301,restaurants,True
1302,dekapu,False
1303,varadi,False
1304,reeta,False
1305,delivory,False
1306,20%,False
1307,dewathauni,False
1308,yannath,False
1309,gloves,True
1310,hadhaganna,False
1311,really,True
1312,slowly,True
1313,amarui,False
1314,paribogikayanta,False
1315,suwapahasu,False
1316,aayenam,False
1317,chinese,False
1318,appiriyay,False
1319,Lassanai,False
1320,prabodamathwa,False
1321,narakai,False
1322,kemata,False
1323,yamuuu,False
1324,noodles,True
1325,ewa,False
1326,parakui,False
1327,habby,False
1328,Podi,False
1329,siya,False
1330,awashyathawaya,False
1331,unforgetable,False
1332,appriciated,False
1333,umbata,False
1334,nethi,False
1335,spices,True
1336,walata,False
1337,dekak,False
1338,sendewak,False
1339,nane,False
1340,gully,True
1341,hamadama,False
1342,places,True
1343,dennektath,False
1344,to,True
1345,issara,False
1346,wadima,False
1347,rawatanawa,False
1348,weekdays,True
1349,-,False
1350,kiyapu,False
1351,puthe,False
1352,man,True
1353,pissu,False
1354,join,True
1355,nisada,False
1356,wesak,False
1357,gena,False
1358,liquor,True
1359,balaporiththu,False
